lead_id,nome,telefone,criado_em,campanha_id,etapa_atual
LD1141,Nelson Almeida,+5511996688655,2026-05-19 14:11:00,cmp_002,perdido
LD1278,Olivia Pereira,+5511952688984,2026-06-29 20:25:00,cmp_004,qualificado
LD1095,Mariana Almeida,+5511959093843,2026-05-01 21:06:00,cmp_001,em_atendimento
LD1329,Vitor Rocha,+5511911659440,2026-06-05 13:54:00,cmp_005,qualificado
LD1390,Daniel Costa,+5511992978636,2026-05-15 18:55:00,cmp_005,qualificado
LD1234,Carla Souza,+5511970665302,2026-06-06 18:17:00,cmp_003,em_atendimento
LD1406,Daniel Costa,+5511927231111,2026-06-19 10:44:00,cmp_006,perdido
LD1355,Renata Pereira,+5511958116670,2026-06-13 16:40:00,cmp_005,perdido
LD1169,Ana Santos,+5511930270856,2026-05-27 10:53:00,cmp_002,novo
LD1227,Daniel Santos,+5511968930964,2026-05-29 12:22:00,cmp_003,novo
LD1137,Renata Costa,+5511927709269,2026-05-06 16:28:00,cmp_002,em_atendimento
LD1260,Henrique Souza,+5511917772004,2026-06-14 14:46:00,cmp_003,novo
LD1253,Mariana Souza,+5511976422705,2026-06-03 17:32:00,cmp_003,briefing_realizado
LD1025,Bruno Ribeiro,+5511930248230,2026-06-11 11:20:00,cmp_001,perdido
LD1016,Mariana Pereira,+5511920555833,2026-05-06 14:54:00,cmp_001,vendido
LD1070,Isabela Santos,+5511997182566,2026-06-06 10:33:00,cmp_001,em_atendimento
LD1152,Renata Almeida,+5511961157708,2026-06-01 08:22:00,cmp_002,perdido
LD1187,Ana Pereira,+5511922283664,2026-06-15 20:40:00,cmp_002,vendido
LD1038,Joao Ribeiro,+5511991952730,2026-05-27 13:43:00,cmp_001,em_atendimento
LD1447,Daniel Santos,+5511943646722,2026-05-30 18:35:00,cmp_006,qualificado
LD1251,Sergio Rocha,+5511943308414,2026-05-21 20:08:00,cmp_003,qualificado
LD1284,Ana Silva,+5511926301180,2026-06-05 19:35:00,cmp_004,briefing_realizado
LD1161,Renata Ribeiro,+5511958270683,2026-05-30 16:41:00,cmp_002,em_atendimento
LD1454,Ana Martins,+5511920120010,2026-05-13 12:46:00,cmp_006,novo
LD1256,Isabela Santos,+5511911851322,2026-06-18 15:49:00,cmp_003,qualificado
LD1005,Renata Santos,+5511922315507,2026-05-05 10:47:00,cmp_001,novo
LD1182,Renata Almeida,+5511920526386,2026-06-18 19:08:00,cmp_002,perdido
LD1015,Olivia Almeida,+5511992963368,2026-05-08 14:01:00,cmp_001,novo
LD1471,Paulo Ribeiro,+5511920344164,2026-07-02 14:17:00,cmp_004,perdido
LD1085,Isabela Santos,+5511987412924,2026-06-22 21:01:00,cmp_001,qualificado
LD1378,Nelson Pereira,+5511958039455,2026-06-01 11:38:00,cmp_005,briefing_realizado
LD1291,Sergio Silva,+5511943440045,2026-05-06 12:24:00,cmp_004,perdido
LD1060,Daniel Almeida,+5511946670512,2026-06-25 20:03:00,cmp_001,em_atendimento
LD1032,Renata Souza,+5511999941500,2026-06-08 19:05:00,cmp_001,briefing_realizado
LD1236,Olivia Almeida,+5511922501261,2026-05-21 17:00:00,cmp_003,perdido
LD1439,Joao Pereira,+5511924245271,2026-05-03 19:54:00,cmp_006,qualificado
LD1388,Paulo Ribeiro,+5511927536261,2026-05-25 20:22:00,cmp_005,perdido
LD1442,Lucas Silva,+5511996965116,2026-05-20 18:56:00,cmp_006,perdido
LD1012,Sergio Almeida,+5511977144075,2026-05-12 10:24:00,cmp_001,novo
LD1170,Paulo Ribeiro,+5511992747827,2026-06-02 15:23:00,cmp_002,qualificado
LD1125,Felipe Silva,+5511944529507,2026-06-21 09:21:00,cmp_002,qualificado
LD1037,Olivia Silva,+5511932218290,2026-05-10 10:11:00,cmp_001,perdido
LD1423,Ana Almeida,+5511944227688,2026-05-18 16:16:00,cmp_006,qualificado
LD1171,Renata Pereira,+5511912244945,2026-05-02 08:34:00,cmp_002,novo
LD1456,Eduarda Almeida,+5511973364719,2026-06-05 12:34:00,cmp_006,perdido
LD1449,Olivia Almeida,+5511975211190,2026-05-19 17:04:00,cmp_006,em_atendimento
LD1078,Carla Ribeiro,+5511952550733,2026-06-19 14:52:00,cmp_001,novo
LD1108,Renata Rocha,+5511965079923,2026-05-29 13:26:00,cmp_002,qualificado
LD1345,Paulo Oliveira,+5511911194267,2026-05-18 18:26:00,cmp_005,perdido
LD1082,Eduarda Pereira,+5511946836194,2026-06-24 09:16:00,cmp_001,qualificado
LD1149,Vitor Almeida,+5511987507357,2026-05-15 21:58:00,cmp_002,em_atendimento
LD1150,Nelson Pereira,+5511939667854,2026-05-16 12:56:00,cmp_002,qualificado
LD1157,Tatiane Martins,+5511935254849,2026-05-25 18:38:00,cmp_002,novo
LD1394,Carla Ribeiro,+5511941541166,2026-05-16 13:17:00,cmp_005,proposta
LD1191,Eduarda Souza,+5511976185975,2026-06-03 10:43:00,cmp_003,vendido
LD1099,Bruno Oliveira,+5511916080513,2026-05-13 17:32:00,cmp_002,novo
LD1293,Bruno Ribeiro,+5511947706144,2026-05-25 12:11:00,cmp_004,vendido
LD1022,Lucas Pereira,+5511917635653,2026-05-23 16:04:00,cmp_001,qualificado
LD1347,Olivia Pereira,+5511956802956,2026-06-15 19:41:00,cmp_005,qualificado
LD1029,Daniel Martins,+5511954250344,2026-05-04 20:40:00,,novo
LD1340,Olivia Silva,+5511914438720,2026-06-26 21:12:00,cmp_005,novo
LD1401,Nelson Souza,+5511928850770,2026-06-14 09:02:00,cmp_006,em_atendimento
LD1246,Karina Almeida,+5511923851475,2026-05-15 14:05:00,cmp_003,novo
LD1084,Tatiane Silva,+5511955314533,2026-05-11 18:39:00,cmp_001,perdido
LD1073,Lucas Souza,+5511952894344,2026-05-08 10:54:00,cmp_001,briefing_realizado
LD1168,Bruno Silva,+5511999686372,2026-06-11 08:33:00,cmp_002,qualificado
LD1448,Henrique Souza,+5511927208745,2026-06-16 17:31:00,cmp_006,em_atendimento
LD1166,Olivia Oliveira,+5511975846624,2026-06-18 21:31:00,cmp_002,perdido
LD1477,Nelson Silva,+5511942704875,2026-06-07 10:00:00,cmp_999,novo
LD1384,Karina Oliveira,+5511960012498,2026-05-23 15:39:00,cmp_005,qualificado
LD1007,Isabela Ribeiro,+5511920949687,2026-05-10 10:48:00,cmp_001,perdido
LD1419,Bruno Silva,+5511984104909,2026-05-25 14:50:00,cmp_006,em_atendimento
LD1280,Olivia Pereira,+5511937868462,2026-05-11 15:29:00,cmp_004,vendido
LD1039,Gabriela Almeida,+5511972950208,2026-05-15 16:15:00,cmp_001,qualificado
LD1324,Tatiane Martins,+5511977390918,2026-06-06 11:30:00,cmp_005,briefing_realizado
LD1301,Lucas Costa,+5511919735027,2026-06-07 19:58:00,cmp_005,proposta
LD1184,Henrique Almeida,+5511975847681,2026-05-02 18:17:00,cmp_002,em_atendimento
LD1415,Eduarda Silva,+5511943629729,2026-06-18 20:10:00,cmp_006,perdido
LD1398,Karina Martins,+5511970996586,2026-06-30 13:23:00,cmp_006,novo
LD1321,Bruno Oliveira,+5511985731895,2026-05-17 15:29:00,cmp_005,qualificado
LD1107,Gabriela Silva,+5511924749927,2026-06-22 18:15:00,cmp_002,qualificado
LD1396,Ana Souza,+5511983698792,2026-06-01 19:41:00,cmp_006,vendido
LD1214,Karina Rocha,+5511980828710,2026-05-12 13:20:00,cmp_003,proposta
LD1115,Isabela Ribeiro,+5511998043078,2026-05-03 12:45:00,cmp_002,qualificado
LD1228,Nelson Oliveira,+5511991907952,2026-05-14 20:47:00,cmp_003,em_atendimento
LD1250,Lucas Costa,+5511961543890,2026-06-27 09:08:00,cmp_003,perdido
LD1026,Renata Oliveira,+5511921318464,2026-05-07 20:57:00,cmp_001,perdido
LD1414,Gabriela Pereira,+5511917597364,2026-06-21 08:33:00,cmp_006,vendido
LD1412,Tatiane Rocha,+5511974474159,2026-06-04 19:40:00,cmp_006,vendido
LD1222,Felipe Souza,+5511975592138,2026-06-13 15:26:00,cmp_003,em_atendimento
LD1117,Henrique Silva,+5511995623471,2026-06-09 19:37:00,cmp_002,briefing_realizado
LD1446,Bruno Martins,+5511986140729,2026-06-23 12:12:00,cmp_006,qualificado
LD1154,Nelson Costa,+5511985482164,2026-06-24 19:09:00,cmp_002,novo
